discrete continuous discrete
3:3 17.848299845014655 1
3:3 25.287186570561246 1
3:4 5.653623180497885 1
2:4 20.1859280080768 2
3:4 5.64797876927202 1
3:3 17.59441749275331 1
2:3 14.698382042649612 2
1:3 43.698957328157995 2
2:3 13.480393626216461 3
2:4 12.182109246127549 2
3:4 3.1683130685183043 1
4:4 4.30474449770351 1
4:4 32.057436207600816 3
4:4 17.381805473510266 1
3:4 3.9420458485451872 1
3:4 4.277434978232482 1
3:3 17.495198924524423 1
3:2 55.31079974229944 4
4:2 5.821088142081062 4
3:2 33.061602223777875 4
4:2 4.337158583346888 4
4:2 6.842831501849403 4
4:1 10.82709720907873 4
3:1 23.677001901276764 4
3:1 5.4699977910103526 1
3:1 6.401283982265283 4
2:1 38.717181606534275 3
3:1 6.98668645650142 4
2:1 31.929235483302268 3
2:1 36.68771700455506 3
2:1 29.08881127481372 3
3:1 4.13770499929018 4
3:2 13.726217773608969 4
3:2 17.876311995004713 4
3:1 5.611941332583414 2
4:1 3.8659535184235247 2
4:1 17.09755653981695 4
4:1 9.516091017293032 4
4:1 18.27630774771245 4
4:2 5.197170004338775 4
4:2 20.57134956211162 4
4:1 15.970290986150584 4
4:1 12.057928539321527 1
4:1 12.608685113606283 2
4:1 7.779386425496323 4
3:1 5.878809937642264 4
3:2 48.85103673764643 4
3:3 19.04951046841177 1
3:3 13.645662033072115 1
3:4 7.311150372626312 1
2:4 22.14904709572344 2
2:3 13.723979281205201 2
2:4 20.580283642615232 2
2:4 15.818819954659245 1
2:3 19.139296256610358 2
2:4 20.688562590115094 1
2:4 16.751523841114242 2
2:4 12.64861621237842 2
2:4 22.440994829039173 2
2:4 19.847285066369356 2
2:4 25.90383063537056 2
3:4 12.055556843110343 1
4:4 13.06627804105369 1
3:4 19.877859318925314 1
3:4 4.317634761217766 1
4:4 17.18405947508717 1
3:4 6.599303139487466 1
4:4 14.4525300107136 1
3:4 5.183731745706343 1
3:4 5.916044229510163 1
2:4 21.74969137652536 2
2:4 21.055326218394526 1
2:4 26.014786227578803 2
2:4 24.692109107487564 1
2:3 18.02712848897172 2
3:3 19.91028830236087 1
2:3 12.312945356482338 2
3:3 21.307358657661812 1
3:3 22.89805425175065 1
3:2 37.98338701988301 4
3:2 36.764720155392226 4
3:2 47.047076422657895 3
4:2 4.514820823609929 4
4:2 5.511332061040702 4
4:2 5.479518024726238 4
4:2 5.097809483151925 4
4:1 9.69917639348666 4
4:1 7.905396759508404 4
4:2 4.045964227862673 4
4:2 2.454864839150179 4
4:2 3.1551214915172796 4
4:2 4.618822501186201 4
4:2 4.4667781767551515 4
4:1 16.36583541120497 4
3:1 5.098394205312721 4
2:1 26.567642611521727 3
2:1 24.091036638381183 3
2:1 26.83485400148986 3
3:1 3.6428959249976205 3
3:2 40.02551728499585 4
3:2 40.97881937800217 4
4:2 5.338921707284696 3
4:2 6.427755860255532 4
4:2 5.401087927273615 4
4:2 6.523371319419824 4
4:1 18.628582792812033 4
4:1 15.956860642486715 4
4:1 5.356134651248287 4
4:2 5.712780411083154 4
4:2 4.329925551334883 4
4:2 4.196233647065343 4
4:1 13.961020562172566 4
4:2 3.463056517243401 4
4:1 13.996590674458654 4
4:1 16.81643542651032 4
4:1 16.43676392754988 4
3:1 5.535438423263561 4
3:2 27.499128294878396 2
4:2 6.011289393653078 4
4:2 4.731285059261245 1
4:2 4.876002768245576 4
4:2 5.072835965332444 4
4:1 16.440223421920095 4
3:1 5.617061545276991 4
2:1 27.25913450025856 3
2:1 37.08627785492595 3
2:1 25.092970669132093 3
2:1 23.34985895781351 3
2:1 28.37734981069415 3
2:1 37.93776515913701 3
3:1 6.996306975559601 4
2:1 32.97891828381328 3
3:1 5.634977030236036 4
3:2 43.36046167820974 3
3:3 19.43271292745207 1
3:2 5.223935558441819 4
3:1 14.705058431575292 2
2:1 38.50802640159845 4
2:1 37.112091111964354 3
2:1 41.966912355808304 3
3:1 2.4887590618067725 4
4:1 16.55471174749347 4
4:1 13.718177410250668 4
3:1 5.405636527243878 4
3:1 19.00965095836868 4
4:1 16.488190816839996 4
4:2 5.155233130577263 4
3:2 38.761981703606416 4
3:2 32.91971636620121 4
3:2 14.419960600059547 4
4:2 4.791070113255706 4
3:2 42.98047434154481 4
3:3 21.29357674263398 1
3:2 42.9588381006946 4
4:2 5.248799124599913 3
4:2 5.4874505349131715 1
3:2 34.786259064414466 4
4:2 6.320194909954063 4
3:2 31.55322162616658 2
4:2 4.448157109475884 4
4:1 11.448648080215019 4
4:1 13.382464465361767 4
4:2 3.9096699515971274 4
4:2 6.6327047833594985 4
4:2 3.3165258272096043 4
4:2 6.955828942204836 4
4:1 14.60579273801986 4
4:1 13.46586131838522 2
4:2 6.116085506609073 4
4:2 5.899702772261289 4
4:2 4.581830322881658 4
4:2 5.569467444894861 4
4:2 5.842855360077801 4
4:2 6.108928052142015 4
3:2 39.921001425518014 4
3:2 40.16433821965204 1
4:2 6.613449736582103 4
4:1 19.290693440923395 4
4:1 9.954564329430823 4
4:2 5.417819034336499 4
4:2 5.69424239255837 4
4:1 12.577909060813592 4
4:1 14.60603220732222 4
4:2 36.54950930407434 4
4:1 15.202289571225705 4
3:1 5.462265792421404 4
3:1 5.452073729619247 3
4:1 18.01420652382401 4
4:2 6.426514595508909 2
4:1 6.315486318226913 4
3:1 4.789705330184689 4
3:1 2.9282096647518587 4
4:1 15.02466705760024 4
3:1 17.905277220046475 4
4:1 12.870634200500323 4
4:1 14.881835322481578 4
4:1 18.06210701159443 4
4:1 8.601905418156992 4
4:1 13.586575538872346 4
4:2 5.422001361648552 4
.
1:3 35.83269305491043 2
2:3 16.91390155195194 2
3:3 29.22699824785699 1
2:3 15.938726850483516 2
2:3 19.165163326370916 2
2:4 22.571674364260804 2
2:4 23.406185587863714 2
2:4 18.213207914050596 2
2:3 19.524596209922823 1
3:3 19.016194131676222 1
3:2 42.64252196964338 4
3:1 5.15162536759275 4
3:1 3.621141446879656 4
3:1 5.395592723940706 4
3:1 3.621490583043453 4
4:1 11.889100588908505 4
3:1 4.580930234743153 4
2:1 37.66466634776527 3
2:1 39.547361794932286 3
2:1 33.70665203950466 3
2:1 37.11315307747488 3
2:1 35.73498951211307 3
2:1 44.552546167501504 3
2:1 21.663165612236263 3
3:1 6.2925288669393895 4
3:1 6.3811207532685605 4
3:1 5.499532688591073 3
4:1 13.471514949500401 4
4:1 15.104190876446484 4
4:1 8.152411610883826 4
4:2 4.018663946961209 4
3:2 36.46126265054884 4
3:1 4.768145681419505 4
3:2 30.38475241912385 4
4:2 4.309803869293107 4
4:2 5.261485927418359 4
4:1 14.014459739811421 4
4:1 11.256812377806673 4
4:2 3.040800670908226 4
4:2 6.003657707402285 3
4:2 5.977874937812575 4
4:2 6.813073592212803 4
4:1 14.570723541688585 4
3:1 6.15305405152141 3
3:1 7.281419311998531 4
3:1 4.8480398016418516 4
4:1 19.985530750588246 4
3:1 4.271088470423205 4
3:2 39.244683855067215 1
3:3 27.06399608819985 1
3:2 35.34490227930177 4
3:2 38.16319325228964 4
4:2 4.857459244681706 4
4:1 23.946709861217496 4
4:1 17.78152128816777 4
3:1 4.3863424492586205 4
3:2 26.351774337016167 4
3:2 41.17148498763486 4
3:1 2.9214245813667317 4
2:1 47.79808350698056 4
3:1 51.28771277193934 4
2:1 46.3175773866416 3
2:1 41.04837735509217 3
2:1 42.87820716671152 3
2:1 30.206124049687055 3
2:1 32.405931981988225 3
2:1 43.09378307015392 3
3:1 10.380098575264682 4
3:2 37.04499749342066 4
3:1 4.441440728390383 4
3:2 26.403316452374842 4
3:2 33.755198656624735 4
3:3 18.500089905108467 1
2:3 18.83046323114528 2
2:3 35.28161094938721 2
2:4 13.238973140523301 2
2:3 13.591596598401683 2
3:3 15.864000373375795 1
3:2 21.5195798524911 4
3:1 4.5039937503913325 4
4:1 17.16965518919697 4
3:1 6.430848052420962 4
4:1 15.927389725847833 1
4:1 17.32768727050717 4
4:1 15.421336097350226 4
4:1 17.269440573301218 4
4:1 5.580632334300344 4
4:2 3.887962241068297 4
4:2 4.592091986000077 4
3:2 41.49521377660483 4
4:2 4.150412824366252 4
4:2 5.7237981682397425 4
4:1 14.901118919536932 4
4:1 17.138204257225667 4
4:1 17.353317148202237 4
4:2 5.879525256605774 4
4:2 31.176420542280827 4
3:2 41.59424856370105 4
3:1 5.558854686875979 4
4:1 15.978809348281063 4
3:1 4.46622902464197 4
4:1 16.091965283486097 4
4:1 19.986379334467898 4
4:1 17.264849117213878 4
3:1 5.972125637542845 4
3:2 40.119103739800394 4
3:2 36.372294343385406 4
4:2 5.756435531329161 1
3:2 42.363668156739124 4
3:1 3.8542438178721765 4
3:1 5.176797291493889 4
3:2 41.435670680763515 4
3:3 22.299281730151865 1
3:3 17.49720597234602 1
3:4 3.9826998905045383 3
2:4 23.196974535319747 2
2:4 11.60875204061812 2
2:3 41.18368272469736 2
1:3 37.42020979009429 2
2:3 18.91995876851001 2
2:3 15.433292687978856 2
1:3 37.17871867067293 2
1:2 14.822477638566802 3
1:3 41.045117385047284 2
1:3 13.972675691670547 2
2:3 13.224267198515157 2
2:3 16.340186435802828 2
2:3 17.90204267785272 2
2:3 16.281976738760367 2
2:3 16.049329893714265 2
2:3 13.603500388736657 2
2:4 18.65535602552407 2
3:4 3.969602976545179 1
4:4 9.925294699324056 1
3:4 5.795231687846097 2
3:3 16.779019324424027 1
3:4 16.214866746308864 4
2:4 24.825889370994087 2
2:3 18.69725068465689 2
3:3 25.9631227548861 1
2:3 11.625885060524771 2
3:3 23.85242160562309 1
3:4 5.112573084832178 1
2:4 20.42232492206343 4
2:4 19.52531214457199 2
2:3 17.286895144148165 2
2:3 17.09584923005682 2
2:3 14.825395671292888 2
3:3 18.91738327206467 1
3:2 32.74763014942424 4
4:2 5.6658070961035545 1
4:2 3.8265279819708544 4
4:2 4.388125575496103 4
3:2 22.02352528741259 4
3:2 27.217250244399413 4
4:2 4.253325742764361 4
4:2 5.596501973108033 4
4:2 6.918973748832438 4
4:2 18.924030706758785 4
4:2 4.773530834186881 4
4:2 46.48324618815223 4
4:2 6.326153299844733 4
3:2 3.950533227872459 4
4:2 4.233805049378097 4
4:2 4.768523867650037 4
4:1 12.856843268080823 4
3:1 5.725138879741017 1
3:2 33.72258738533656 2
3:1 3.8882330790420045 4
3:2 49.33440088528492 4
4:2 3.894303345578254 4
4:2 6.434414008624832 4
4:1 11.71580414126734 4
3:1 5.748324818643589 4
3:2 28.735968607539263 4
4:2 5.805198545576269 4
4:1 16.413206795630767 3
4:1 18.75726872366925 4
4:1 12.549986507803986 4
3:1 5.5321124658764305 4
3:2 39.580102010850034 4
4:2 18.5912484532975 4
4:1 15.66268921028116 4
4:1 17.193913490046263 4
4:2 2.9533400439268056 4
4:1 16.2623119679912 4
4:1 14.606346974306232 4
4:2 5.169621855374159 4
4:2 5.788095407270665 4
4:1 12.199352181621338 4
4:2 5.33781712078285 4
4:1 13.365599723486433 4
4:1 17.608833976940563 4
4:1 14.094320081080667 2
4:2 6.98934578154709 4
4:2 4.47850838279056 4
4:1 11.939779549903918 4
3:1 5.698062476508533 4
3:1 4.057539066026697 1
3:2 30.251704550762046 4
.
2:1 22.004484323207777 3
2:1 31.82215764210434 3
2:1 22.85112228466175 3
2:1 27.92429681292019 3
2:1 12.584319238032634 3
2:1 10.456982984534918 3
2:1 26.25014400311615 3
3:1 3.869789725382437 4
2:1 33.2891358053231 3
2:1 34.417166365476824 3
3:1 4.529908963988098 4
4:1 45.18539219510412 4
3:1 4.870129081071432 4
3:2 39.89379107922327 4
3:2 10.769723632570592 4
3:3 21.015111611444045 1
3:2 33.51164414516474 4
3:2 35.732641943010286 4
3:3 20.881567268224064 1
3:4 5.471647475220642 1
4:4 14.210627163788946 1
3:4 4.611414468806858 1
2:4 18.317476114395895 3
2:4 24.171408452929196 2
3:4 4.87672027339995 1
3:4 6.082315434688528 3
2:4 12.26245565385042 2
2:4 15.433110933040336 2
3:4 17.604932053395526 1
3:3 22.326498202869363 1
3:4 3.93601092988266 1
3:4 5.3594002363454765 1
3:4 3.531067567735395 1
2:4 7.329037166442522 2
2:4 13.102200577324284 3
3:4 6.100530132443554 1
4:4 12.37583336447053 1
3:4 5.448676637608203 1
3:3 24.970833013320348 1
3:4 6.579006034252954 1
3:4 4.764143595511251 1
3:4 5.070832017699235 1
4:4 20.281995742830354 2
4:4 18.11927384072057 2
4:4 15.476411334117673 1
4:4 16.943449476027393 1
3:4 4.075407829930778 1
4:4 14.504459330459719 1
4:4 16.64918392145306 1
4:4 12.121707113896578 4
4:4 15.565850745220478 1
3:4 5.065614508916451 1
4:4 13.18533418236973 1
4:4 14.205517228214934 1
4:4 19.567386410125742 1
3:4 5.6209850946802735 4
3:3 16.728933354312655 1
2:3 3.5059557760906968 2
2:4 23.454569261034486 2
2:3 14.434495742851777 2
1:3 42.33903541918332 2
1:3 31.692266589891695 2
2:3 11.971878165629942 2
2:4 19.684808463048846 2
3:4 2.842862463970832 2
4:4 18.005060666191614 1
4:4 21.7860961280662 1
4:4 20.03856949085765 1
4:4 15.322987111856804 1
3:4 9.349220753951851 1
4:4 9.95154408916131 1
4:4 12.459413154270617 1
4:4 16.25496058884069 1
4:4 16.7917235071576 1
4:4 13.191325372370173 1
4:4 19.757293241001612 4
3:4 5.448471200624056 1
4:4 16.620691804379298 1
4:4 13.882597260915608 1
4:4 15.606448882990536 1
4:4 16.5246782819542 1
4:4 15.614196810406565 1
4:4 31.982348759270373 1
4:4 27.141557195012595 1
4:4 38.06099368221636 1
3:4 6.426048509115651 1
3:4 6.35016687786657 1
2:4 39.10449064995553 2
2:4 12.757533132017576 2
2:3 18.251163169750686 2
2:3 10.100243788290216 2
2:3 13.502372983595851 2
2:4 17.136049770685368 4
2:3 18.371346055977874 2
1:3 29.141907806399523 2
1:3 40.874479855560104 2
1:3 36.37513419820849 4
1:2 6.341058267543089 3
1:2 21.121524950963188 1
1:2 19.308630460817668 1
1:2 15.475701234514126 4
1:2 13.638245831778804 3
1:2 26.303380321516357 3
1:2 25.870182402704575 3
1:3 40.73252998037156 2
1:3 44.58039664006854 2
1:3 39.4713147008901 2
1:3 35.123810656951214 2
1:3 31.82259390574224 2
2:3 15.78673228983787 2
2:3 17.084331013209937 2
2:3 11.358483768376285 2
2:3 12.391328544095494 2
2:3 15.81692444252269 2
3:3 9.1287656026045 1
3:2 32.40611545251596 4
3:2 35.824698267263564 1
3:2 44.508860221188186 4
3:2 36.30733793825622 4
3:1 4.161819706797742 4
3:1 4.278105508925399 4
3:2 34.853156170837124 4
3:1 5.986013795575568 4
3:2 26.25957728957427 4
4:2 5.266901441006374 1
4:2 5.790268073939833 4
4:1 13.990048333113837 1
4:2 5.446244875021895 4
4:2 4.963939280701563 4
4:1 16.354140294739324 4
4:1 13.176411552702731 4
3:1 4.873159459944465 4
3:2 34.57425448643734 4
4:2 3.8268012417498145 4
4:2 6.109510026576251 2
4:2 4.26437504255841 4
4:2 3.156885968153923 4
4:2 4.062355041705166 4
4:2 26.39474508979933 4
4:1 17.251535946617892 4
3:1 3.9385466272166125 4
4:1 11.912068933980883 4
3:1 5.0254230180198105 3
3:2 48.47828911497011 1
4:2 38.41164261036656 4
3:2 40.26254311147574 4
3:3 9.599585261143975 1
3:2 28.206587554940416 4
3:1 4.446836558468217 4
3:1 4.065268007778806 4
3:1 3.7642786992710615 2
3:1 15.651629457906031 3
4:1 16.825329614477017 3
4:1 20.244863373948185 1
4:1 21.264676156846594 4
4:1 17.432363099488263 2
4:2 4.005669251997268 4
4:2 6.5810971813102555 3
4:2 4.154627920443402 4
4:1 13.835361260895882 4
4:2 5.114764029744253 4
4:1 13.545153321544023 4
4:1 18.791438954820755 4
4:1 18.98437360525114 4
4:2 6.0958582436153055 4
4:1 14.838218469041841 1
4:2 40.9484242512288 4
4:2 4.956913660262536 4
3:2 43.12694583202017 3
3:3 34.88239934699087 1
2:3 22.490903019347446 2
1:3 30.981078486442982 2
1:2 15.83085027194969 3
1:2 17.730758517974618 3
1:2 35.46165119223352 3
1:2 3.80892212680477 3
1:2 19.839969166081815 3
1:3 21.633275088659577 2
1:3 39.70280007924663 2
2:3 11.415392639191252 2
1:3 21.606730447644317 2
1:3 37.103637293835874 3
1:2 23.090512201874944 3
1:2 15.022544358044081 3
1:2 11.725597526302833 4
1:2 15.832505414447782 3
1:2 19.609109584307657 3
1:2 14.777067554570912 3
1:2 13.037691772673472 1
1:2 28.73247805178466 3
1:2 18.856091014022788 3
1:2 17.019262941944827 3
1:3 34.32681329544139 2
1:3 41.52577476422211 2
1:3 35.57476663763482 2
1:3 40.46127914911686 2
1:3 41.381098302001256 1
1:3 37.09288236405276 4
1:3 34.2047660028971 2
1:2 7.933899815819137 3
.
1:3 25.730802426068227 2
1:2 15.179616574409575 1
1:2 20.59067539911835 3
1:3 36.978682835609206 2
1:3 18.618369600734532 2
1:3 33.8683773352836 2
1:3 35.12743417463939 2
2:3 6.254096439979455 2
3:3 13.034408082116693 1
3:4 5.764358863351149 4
4:4 10.904018430884408 1
4:4 12.145305034928626 1
3:4 4.211570401521759 1
3:4 4.4856005765364175 1
4:4 12.986434889515483 1
4:4 15.944170588997158 1
4:4 16.991890002962506 1
3:4 3.8050772881816 2
3:4 5.260660450509401 1
2:4 22.548764115437706 2
3:4 2.998996429625188 1
3:3 21.203373985777603 1
3:2 36.85954669258985 4
4:2 4.046157533149418 4
4:2 4.268109741057153 4
4:1 12.773956130284176 4
4:2 6.18811575550354 4
3:2 29.057171691675325 4
4:2 40.392184644053145 4
3:2 23.402006904366903 4
3:2 30.41544279788846 4
3:2 32.11410753157416 4
3:2 25.16486996506918 4
3:2 30.522108564907604 4
3:2 47.218422238949735 4
3:2 30.995274559349674 4
3:1 4.666845146576229 4
3:2 30.35107561802645 1
3:2 32.499204477044564 4
4:2 6.1504252638214725 4
3:2 48.776200183958714 4
3:2 47.87727266510924 4
3:1 6.3511984937424355 4
4:1 13.418090542848377 4
3:1 3.4061147384510337 4
3:2 24.686408254867054 4
4:2 5.444207652226126 3
3:2 29.054156319142706 4
4:2 4.135483533371034 4
4:2 5.428752150985372 3
4:2 5.742203816715896 4
4:2 5.668103882153804 4
4:1 15.155079310966162 4
3:1 5.016616229885952 4
2:1 31.968541855146107 3
2:1 29.3198782174744 3
3:1 4.188930364008294 3
2:1 40.58963702609765 3
2:1 37.748961364414434 3
2:1 37.88640168184357 3
2:1 40.70676316355048 3
3:1 5.0638436845330315 4
4:1 14.51751107943825 4
4:1 17.526598949854595 4
4:1 14.66247204216542 4
4:1 18.457577442825666 4
4:1 8.563537433121208 4
4:1 17.151291693833443 4
3:1 3.945965649999966 4
3:2 41.51269211787684 2
3:3 20.898599119449084 4
3:3 22.204819744587702 1
2:3 17.18323335712808 2
2:4 16.932369668313196 2
2:4 8.262665746944384 2
2:3 15.204826347058635 2
1:3 33.242363406506314 2
1:3 36.46036182069735 2
2:3 16.451951760166452 2
3:3 31.607359743255444 1
3:4 5.149639182279072 1
2:4 19.669103029717853 2
2:3 12.433471206002924 2
2:3 12.832932573359127 3
2:3 18.128942216186253 2
2:3 40.9564382804637 2
2:3 17.72524140506773 3
1:3 19.810194235041706 2
2:3 16.182120124870565 2
1:3 50.310631790123324 2
1:2 21.145868569999603 4
1:3 36.43493436939618 2
2:3 11.39487434447052 4
2:4 15.60057315046621 2
2:4 16.697272095627024 2
3:4 5.466290167715902 1
3:4 3.7501154548582543 1
2:4 15.081351789625181 2
3:4 3.7794288232602478 1
3:3 24.867444547208578 3
3:3 26.6925339293172 2
3:2 26.31217663787608 4
3:2 49.20240544950271 4
4:2 6.805873638856358 3
4:2 6.173357188120203 1
4:1 16.879882241011593 4
4:2 5.934767234043593 4
3:2 15.032370095229226 4
3:3 23.009804820077633 4
3:2 31.503707826684796 4
4:2 3.5707323403231284 4
4:2 4.708366318024821 4
3:2 35.52563887093378 4
3:3 20.27517402074697 1
3:4 6.777318574694505 1
2:4 22.926862044912685 2
2:4 21.003723486867507 2
3:4 3.3853069259092066 1
3:3 12.113036261960845 1
3:4 5.157477074710417 1
3:3 17.95288605727516 1
3:3 19.79475549254335 1
3:4 5.620559425153953 1
3:4 38.80611940258723 1
4:4 22.76593007641677 1
4:4 12.699372564669936 2
3:4 5.16725839297129 1
3:3 27.691287328765878 1
2:3 12.986270290428688 2
3:3 20.599316527359672 4
3:4 4.0750194803832525 4
3:4 3.0411557610634627 3
4:4 15.85676947811533 1
4:4 11.827456633380956 1
4:4 13.658042167148126 1
4:4 13.747275137142095 3
3:4 3.4405096404618494 1
2:4 16.925894674558496 2
2:4 20.68912633714462 1
2:3 16.798903534681877 2
2:4 20.001379021847434 1
2:3 9.192177335186319 2
1:3 41.11890278537823 2
2:3 16.029921926639727 2
3:3 34.892794094106875 1
2:3 21.60713122821914 2
2:3 14.319159463068715 2
2:4 27.84304452133901 2
2:4 17.107865335114035 2
2:4 17.531275876804493 2
2:4 10.754172486049365 2
3:4 3.8562016814110476 1
4:4 6.268351638554988 1
4:4 13.91919384060264 1
4:4 16.91481030550602 1
4:4 23.899095822037268 1
4:4 15.745900063038315 1
4:4 13.935294136572676 1
4:4 14.168987601530183 1
4:4 15.507302134300879 1
3:4 3.9880081406381573 1
2:4 24.07268975382813 2
2:3 13.539219872833803 2
1:3 31.956355332034235 2
1:3 27.838324921062735 2
1:3 36.66729594135587 2
1:2 21.741053367581568 3
1:3 26.652842279728375 3
1:2 10.63070849363182 3
1:2 26.01712956045031 3
1:2 21.498169082338993 3
1:2 27.360545260131307 3
1:3 34.45944567433141 2
2:3 16.71033854650012 2
1:3 40.888447449379655 2
1:3 38.356892280646434 2
1:3 30.98515591522345 2
2:3 4.968715650430893 3
1:3 28.798888847705395 2
1:3 35.99139257585972 2
1:2 16.34451236386333 3
1:2 26.68597935133208 3
1:2 21.534176431713185 3
1:2 26.132230491028874 3
1:2 18.319589501312308 3
1:2 16.76918556773483 3
1:2 24.083543827649027 3
1:2 17.044222518483142 3
1:2 36.740745222178575 3
1:2 8.97397265573262 3
1:2 15.318987778749989 3
1:2 6.70025426030157 3
1:2 17.684749558077236 3
1:2 19.90524707323934 3
1:2 20.795089528260643 3
1:2 25.771655982928586 3
1:2 15.622458301638336 3
1:2 24.57816259524148 3
1:3 31.532826706055133 2
1:2 20.790385823410055 3
.
3:3 18.040009730245607 3
3:4 3.502507615407474 4
3:3 22.01606636510822 1
3:2 19.755009676144397 4
3:1 4.868433235390039 4
3:1 4.946254754446239 4
2:1 24.355314607963905 2
2:1 31.835639936625107 3
3:1 6.459889101548506 4
4:1 27.45749396762601 4
4:1 19.986351475104133 4
3:1 3.856765590505244 4
2:1 36.41927487223721 3
2:1 42.31274635432084 1
3:1 6.063657562824961 4
3:1 4.230050868984845 4
4:1 15.654451132871555 4
4:2 4.616952848991261 4
4:1 14.231181824371607 4
3:1 3.9803245662539557 4
4:1 14.97995065437038 4
3:1 5.385322249742193 4
4:1 18.587208560490513 4
4:2 4.452630139018053 4
4:2 4.411379052139095 4
3:2 34.527256772509105 4
3:3 13.953686124716183 1
2:3 21.918363327024558 2
1:3 45.638049797956086 2
1:3 46.31980072543794 2
1:3 37.196276835955594 2
2:3 16.743781863732757 2
2:3 21.14889218525839 3
2:4 25.119585989347684 2
2:4 34.5091050406063 2
2:3 14.43347420373952 2
3:3 15.296136459870329 1
2:3 17.0153157806744 2
2:3 23.047524238813416 2
1:3 5.063778209110405 2
1:3 5.075823091783032 2
1:3 28.01052575050688 2
1:3 42.56178974625714 2
2:3 13.280657637758434 2
1:3 47.16785250280914 2
1:3 41.64420774574167 2
2:3 15.669544872487636 2
3:3 20.814134857799775 1
2:3 11.198934856615477 2
2:4 17.32721227383748 2
2:4 17.56510186528364 2
2:4 20.60628382978179 2
3:4 3.717513887925672 1
3:4 4.960587009356517 1
3:3 10.783413202903148 1
3:3 19.81999959086692 1
3:2 39.38515229089725 4
3:3 14.360305263755937 1
3:3 20.324965650008497 1
2:3 14.650784416960938 2
1:3 3.728600845163048 2
2:3 22.77545539726401 2
2:4 22.54089085752154 2
2:4 20.370306419958666 2
2:3 7.121420895553885 2
2:4 19.80243632885751 2
2:4 28.633713792733744 2
2:4 12.313864260033924 2
2:4 16.094243966248776 4
2:3 21.525222577587485 2
2:4 15.976647342120287 2
2:4 22.499176962209432 2
2:4 20.012959125212838 2
2:3 12.871703616882264 2
2:3 14.95213558178829 2
2:3 19.327948625311475 2
2:3 13.351329189079001 2
2:4 20.125147805846055 2
3:4 5.386503600129429 1
3:3 4.9765225038201075 1
2:3 11.313114048403648 2
2:3 8.138811968615938 1
1:3 15.56333182219763 2
2:3 9.048589454629699 2
2:3 14.81632441200978 2
2:4 13.001920385369244 2
2:3 13.790454113685428 2
